filename,worker,CT spam,manual spam,workerCosine,workerDisagreement,sounds,keywordsPerSound,wordsPerSound,charPerSound,wordsPerKeyword,charPerKeyword,charPerWord
2-1-150-f680552.csv,19495345,0,0,0.825,0.768,9,1.111,3.0,18.778,2.7,16.9,6.259
2-1-150-f680552.csv,21875134,0,0,0.735,0.786,3,3.667,3.667,16.667,1.0,4.545,4.545
2-1-150-f680552.csv,11007322,0,0,0.775,0.783,3,2.333,2.333,14.667,1.0,6.286,6.286
2-1-150-f680552.csv,21986514,0,0,0.812,0.821,12,2.167,2.667,15.25,1.231,7.038,5.719
2-1-150-f680552.csv,21799277,0,0,0.849,0.819,3,3.0,3.333,21.667,1.111,7.222,6.5
2-1-150-f680552.csv,25358052,0,0,0.805,0.829,6,1.667,2.833,13.167,1.7,7.9,4.647
2-1-150-f680552.csv,30009770,0,0,0.62,0.7,3,1.333,5.0,30.0,3.75,22.5,6.0
2-1-150-f680552.csv,16878855,0,0,0.911,0.848,30,1.4,1.733,10.4,1.238,7.429,6.0
2-1-150-f680552.csv,18960682,0,0,0.74,0.807,3,1.667,2.667,17.667,1.6,10.6,6.625
2-1-150-f680552.csv,30544555,0,0,0.625,0.691,6,3.667,5.167,28.0,1.409,7.636,5.419
2-1-150-f680552.csv,21956458,0,0,0.799,0.836,3,3.0,3.333,20.333,1.111,6.778,6.1
2-1-150-f680552.csv,25757318,0,0,0.684,0.733,30,1.367,1.867,11.833,1.366,8.659,6.339
2-1-150-f680552.csv,19004168,0,0,0.888,0.836,12,1.5,1.833,13.583,1.222,9.056,7.409
2-1-150-f680552.csv,13300986,0,0,0.674,0.733,15,2.2,2.867,15.067,1.303,6.848,5.256
2-1-150-f680552.csv,23354127,0,0,0.83,0.839,6,3.0,4.667,31.667,1.556,10.556,6.786
2-1-150-f680552.csv,19972883,0,0,0.806,0.833,3,2.0,2.667,15.0,1.333,7.5,5.625
2-1-150-f680552.csv,30489373,0,0,0.784,0.788,84,2.733,3.189,19.133,1.201,7.205,6.0
2-1-150-f680552.csv,17912749,0,0,1.0,0.9,3,1.0,1.0,6.333,1.0,6.333,6.333
2-1-150-f680552.csv,28206320,0,0,1.0,0.9,3,2.0,2.0,14.0,1.0,7.0,7.0
2-1-150-f680552.csv,2156923,0,0,0.663,0.742,3,1.333,1.333,8.667,1.0,6.5,6.5
2-1-150-f680552.csv,28209666,0,0,0.61,0.766,3,1.667,2.0,13.667,1.2,8.2,6.833
2-1-150-f680552.csv,24779993,0,0,0.832,0.823,3,1.0,1.0,6.667,1.0,6.667,6.667
2-1-150-f680552.csv,25212093,0,0,0.707,0.623,3,4.667,6.667,31.0,1.429,6.643,4.65
2-1-150-f680552.csv,14583334,0,0,0.734,0.778,30,2.867,3.433,21.0,1.198,7.326,6.117
2-1-150-f680552.csv,29387367,0,0,0.888,0.85,3,1.333,1.333,6.333,1.0,4.75,4.75
2-1-150-f680552.csv,11896941,0,0,0.851,0.822,3,1.0,1.333,6.667,1.333,6.667,5.0
2-1-150-f680552.csv,6009814,0,0,0.915,0.87,6,1.0,1.0,5.167,1.0,5.167,5.167
2-1-150-f680552.csv,29962254,0,0,0.915,0.862,30,1.0,1.867,11.567,1.867,11.567,6.196
2-1-150-f680552.csv,29488882,0,0,0.718,0.752,30,3.067,3.133,18.089,1.237,7.14,5.773
2-1-150-f680552.csv,27939470,0,0,0.775,0.786,30,1.0,1.5,9.7,1.5,9.7,6.467
2-1-150-f680552.csv,23930372,0,0,0.853,0.808,3,3.667,4.667,27.0,1.273,7.364,5.786
2-1-150-f680552.csv,21766842,0,0,0.837,0.825,12,1.083,1.917,12.417,1.769,11.462,6.478
2-1-150-f680552.csv,23583649,0,0,0.935,0.861,6,1.167,1.5,9.0,1.286,7.714,6.0
2-1-150-f680552.csv,30398579,0,0,0.887,0.832,12,3.75,6.167,39.25,1.644,10.467,6.365
2-1-150-f680552.csv,31295041,0,0,0.88,0.848,30,1.067,1.167,6.2,1.094,5.813,5.314
2-1-150-f680552.csv,12717143,0,0,0.813,0.769,3,2.333,3.0,14.0,1.286,6.0,4.667
2-1-150-f680552.csv,29812109,0,0,0.943,0.88,3,1.667,2.333,16.0,1.4,9.6,6.857
2-1-150-f680552.csv,30188827,0,0,0.971,0.874,6,2.667,2.833,17.833,1.063,6.688,6.294
2-1-150-f680552.csv,30783876,0,0,0.693,0.736,24,2.292,3.625,22.083,1.582,9.636,6.092
2-1-150-f680552.csv,27102601,0,0,0.625,0.781,3,2.333,3.0,22.333,1.286,9.571,7.444
2-1-150-f680552.csv,19294877,0,0,0.795,0.834,6,2.0,3.167,17.167,1.583,8.583,5.421
2-1-150-f680552.csv,10213750,0,0,0.851,0.816,27,1.815,2.037,10.481,1.122,5.776,5.145
2-1-150-f680552.csv,8567276,0,0,0.905,0.863,6,1.333,5.167,26.833,3.875,20.125,5.194
2-1-150-f680552.csv,17877765,0,0,0.88,0.829,3,2.667,3.0,16.333,1.125,6.125,5.444
2-1-150-f680552.csv,11724736,0,0,0.897,0.842,3,2.333,2.333,13.667,1.0,5.857,5.857
2-1-150-f680552.csv,20158161,0,0,0.788,0.82,9,2.222,2.778,17.222,1.25,7.75,6.2
2-1-150-f680552.csv,8492634,0,0,0.746,0.768,18,2.944,3.278,19.389,1.113,6.585,5.915
2-1-150-f680552.csv,19068162,0,0,0.833,0.814,30,2.9,3.233,20.733,1.115,7.149,6.412
2-1-150-f680552.csv,28810858,0,0,0.81,0.812,15,1.733,2.467,14.733,1.423,8.5,5.973
2-1-150-f680552.csv,21568821,0,0,0.686,0.762,30,1.533,2.433,12.433,1.587,8.109,5.11
2-1-150-f680552.csv,30473055,0,0,0.885,0.836,15,1.733,2.733,16.067,1.577,9.269,5.878
2-1-150-f680552.csv,25257275,0,0,0.584,0.669,3,2.0,2.333,11.333,1.167,5.667,4.857
2-1-150-f680552.csv,16826339,0,0,0.881,0.859,9,1.0,1.333,7.778,1.333,7.778,5.833
2-1-150-f680552.csv,7348582,0,0,0.853,0.832,6,2.0,2.0,14.167,1.0,7.083,7.083
2-1-150-f680552.csv,12878402,0,0,0.784,0.793,6,2.833,3.333,22.0,1.176,7.765,6.6
2-1-150-f680552.csv,30505882,0,0,0.905,0.862,30,1.0,1.267,6.733,1.267,6.733,5.316
2-1-150-f680552.csv,17656001,0,0,0.92,0.86,9,2.778,4.333,21.556,1.56,7.76,4.974
2-1-150-f680552.csv,11014534,0,0,1.0,0.9,3,1.333,4.333,25.333,3.25,19.0,5.846
2-1-150-f680552.csv,18749666,0,0,0.634,0.737,3,1.667,2.0,10.333,1.2,6.2,5.167
2-1-150-f680552.csv,31140504,0,0,0.798,0.808,3,1.333,2.0,15.0,1.5,11.25,7.5
2-1-150-f680552.csv,13121046,0,0,0.824,0.806,30,1.567,2.067,13.3,1.319,8.489,6.435
2-1-150-f680552.csv,30572823,0,0,0.831,0.815,27,1.259,2.407,14.556,1.912,11.559,6.046
2-1-150-f680552.csv,13253916,0,0,0.94,0.889,3,1.0,1.0,6.333,1.0,6.333,6.333
2-1-150-f680552.csv,16762164,0,0,0.783,0.766,30,4.767,5.133,31.3,1.077,6.566,6.097
2-1-150-f680552.csv,3587109,0,0,0.79,0.815,60,1.067,2.45,13.15,2.297,12.328,5.367
