# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
action,"4,278",2.71,37.05%,27.44%,00:03:51,0.05
earthquake,"4,254",2.28,35.97%,31.79%,00:04:24,0.01
buzz,"4,250",2.20,23.58%,38.12%,00:02:36,<0.01
door bell,"4,228",2.34,40.23%,29.34%,00:03:27,0.03
monkey,"4,220",2.52,36.16%,30.35%,00:03:32,0.04
wrong,"4,177",2.50,33.37%,31.48%,00:03:03,0.03
baby,"4,175",2.30,33.96%,32.46%,00:03:15,0.02
shotgun,"4,173",2.53,42.61%,25.82%,00:03:22,0.02
death,"4,160",2.74,26.25%,30.69%,00:03:15,0.02
success,"4,160",2.93,36.88%,26.34%,00:03:40,0.04
happy music,"4,143",2.39,36.66%,31.65%,00:03:35,0.03
grunt,"4,124",2.39,24.03%,37.25%,00:03:33,0.02
elephant,"4,113",1.98,36.08%,37.11%,00:03:14,0.02
zoom,"4,098",2.29,23.18%,38.02%,00:02:55,0.02
epic,"4,097",3.02,41.84%,22.80%,00:04:17,0.05
cash register,"4,096",1.92,45.19%,32.74%,00:03:08,0.03
sparkle,"4,079",2.22,33.93%,34.87%,00:03:16,0.02
telephone,"4,079",2.54,33.05%,29.59%,00:03:21,0.01
chicken,"4,068",2.36,38.74%,30.39%,00:03:43,0.02
cry,"4,053",2.24,24.08%,37.81%,00:02:50,0.03
waterfall,"4,021",1.98,37.25%,35.24%,00:03:24,0.03
yeah,"4,020",2.44,33.41%,31.75%,00:02:58,0.02
hey,"4,018",2.47,41.34%,28.30%,00:03:07,0.03
rumble,"4,005",2.31,29.31%,34.17%,00:03:31,0.02
whisper,"3,986",3.08,38.89%,23.07%,00:04:24,0.03
wave,"3,976",2.05,28.19%,38.54%,00:02:46,0.03
coins,"3,975",2.56,31.95%,30.50%,00:03:39,0.01
evil laugh,"3,944",2.30,38.41%,30.42%,00:03:51,0.01
hip hop,"3,944",2.84,41.96%,23.73%,00:03:38,0.05
game music,"3,934",4.03,64.34%,11.16%,00:04:48,0.05
victory,"3,933",2.44,30.10%,33.33%,00:03:01,0.03
open door,"3,929",2.06,27.39%,39.26%,00:04:04,0.01
song,"3,905",2.57,33.16%,28.76%,00:02:52,0.08
moan,"3,901",2.31,28.92%,34.62%,00:02:33,0.01
restaurant,"3,830",2.36,36.21%,32.20%,00:04:03,0.02
drum roll,"3,829",2.22,50.12%,26.59%,00:03:15,0.03
duck,"3,812",2.32,44.33%,28.23%,00:03:11,0.02
bar,"3,798",2.34,30.41%,34.59%,00:03:31,0.02
desert,"3,783",2.64,31.11%,30.55%,00:04:09,0.03
dog bark,"3,783",2.26,41.24%,28.84%,00:03:34,0.02
music box,"3,778",2.90,44.87%,22.49%,00:05:06,0.03
swing,"3,755",2.29,26.07%,36.43%,00:03:08,0.02
shock,"3,738",1.99,21.19%,44.00%,00:02:45,0.02
arrow,"3,731",2.54,36.00%,30.35%,00:04:31,0.03
church bell,"3,730",2.76,52.60%,19.63%,00:03:53,0.02
surprise,"3,730",2.33,24.66%,36.51%,00:03:12,0.01
growl,"3,713",2.48,26.37%,33.07%,00:03:24,0.04
switch,"3,706",2.22,30.63%,34.30%,00:03:07,0.02
shoot,"3,677",2.40,33.07%,31.26%,00:03:07,0.03
tap,"3,676",2.06,22.06%,41.29%,00:02:30,0.02
blow,"3,672",2.13,19.77%,42.24%,00:02:53,0.03
writing,"3,640",1.99,34.92%,36.68%,00:03:55,0.02
techno,"3,629",3.45,42.68%,19.34%,00:04:34,0.07
people talking,"3,612",1.96,28.16%,41.99%,00:03:19,0.01
smoke,"3,599",2.11,23.81%,41.05%,00:02:49,0.02
heavy breathing,"3,593",1.86,29.97%,42.24%,00:03:44,0.01
synth,"3,589",3.27,37.39%,21.13%,00:04:09,0.05
sand,"3,584",2.41,29.35%,34.31%,00:03:53,0.02
meow,"3,572",2.35,46.16%,26.02%,00:03:22,0.03
eagle,"3,570",1.98,37.98%,37.71%,00:03:13,0.03
tension,"3,554",2.77,34.75%,27.13%,00:04:46,0.04
ball,"3,545",2.56,26.35%,33.23%,00:03:08,0.03
steam,"3,537",2.43,29.86%,32.89%,00:03:41,0.01
bass drop,"3,527",2.78,49.16%,21.95%,00:03:36,0.04
snap,"3,523",1.99,30.60%,39.16%,00:02:22,0.03
hello,"3,517",2.32,31.65%,35.77%,00:02:58,0.02
speech,"3,505",3.15,41.54%,21.64%,00:03:37,0.04
truck,"3,502",2.51,30.50%,32.44%,00:03:52,0.02
shout,"3,500",2.62,26.46%,31.50%,00:03:03,0.03
plop,"3,498",2.16,30.87%,37.33%,00:03:25,0.03
correct,"3,484",2.51,32.35%,33.51%,00:02:49,0.03
sheep,"3,476",2.56,38.72%,28.04%,00:04:09,0.03
leaves,"3,471",2.27,26.25%,36.49%,00:03:35,0.03
kids,"3,466",2.19,27.41%,36.73%,00:02:46,0.02
bleep,"3,455",2.03,47.93%,28.40%,00:02:32,0.03
love,"3,448",2.27,26.94%,36.42%,00:02:44,0.05
mouse click,"3,430",1.67,49.45%,32.76%,00:03:11,0.03
boat,"3,416",2.28,20.87%,39.95%,00:02:51,0.01
pig,"3,409",2.60,32.00%,30.51%,00:03:50,0.02
stab,"3,409",1.96,12.20%,50.34%,00:01:34,<0.01
glass break,"3,407",2.25,39.33%,30.65%,00:03:41,0.02
squeak,"3,399",2.21,20.80%,40.07%,00:02:51,0.02
electronic,"3,395",3.21,34.40%,22.61%,00:03:48,0.06
ringtone,"3,393",2.76,41.67%,24.76%,00:03:41,0.03
spaceship,"3,384",2.99,33.45%,25.74%,00:04:42,0.04
grass,"3,375",2.29,29.87%,35.33%,00:03:59,0.02
bus,"3,332",2.19,31.00%,36.10%,00:03:57,0.02
mario,"3,327",2.23,35.23%,34.67%,00:02:36,0.05
car driving,"3,317",2.20,26.86%,38.44%,00:03:51,0.01
shower,"3,312",1.96,32.82%,39.69%,00:03:53,0.02
stamp,"3,312",2.31,35.08%,35.01%,00:02:55,0.02
frog,"3,309",2.91,34.78%,26.34%,00:04:11,0.03
clock ticking,"3,304",2.32,43.58%,26.76%,00:04:05,0.02
no,"3,304",2.29,23.79%,38.72%,00:02:40,0.03
cars,"3,296",1.95,27.03%,41.44%,00:03:02,0.05
