# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
upgrade,299,1.65,21.74%,52.83%,00:01:47,0.05
bbq,298,1.53,29.53%,52.19%,00:02:27,0.02
confusion,298,1.66,16.44%,54.03%,00:02:23,<0.01
cops,298,1.99,21.14%,43.77%,00:02:10,0.01
hippo,298,1.65,25.17%,51.32%,00:02:31,0.05
inflate,298,1.90,30.54%,42.58%,00:03:27,0.05
office chair,298,1.96,28.86%,40.34%,00:04:27,0.01
record skip,298,1.85,42.95%,33.76%,00:02:09,0.01
space sounds,298,2.98,33.89%,24.18%,00:04:53,0.01
washing hands,298,1.73,30.54%,46.62%,00:03:54,0.02
android,297,2.01,22.22%,41.14%,00:01:57,<0.01
closing,297,2.18,17.51%,40.12%,00:02:07,<0.01
dunk,297,1.27,13.80%,74.87%,00:01:33,0.01
leaves wind,297,2.06,32.66%,36.05%,00:03:54,0.02
reverse snare,297,1.90,51.18%,28.37%,00:02:08,<0.01
sports crowd,297,2.23,35.02%,33.43%,00:02:43,0.03
Storm,297,1.79,46.13%,32.96%,00:02:38,0.02
vinyl record,297,2.40,49.16%,24.86%,00:03:15,0.02
wisper,297,1.51,17.51%,58.93%,00:01:40,0.03
accelerate,296,2.22,26.01%,36.68%,00:02:31,0.06
falling down stairs,296,1.93,35.47%,37.02%,00:03:49,0.01
funny scream,296,2.44,31.42%,31.62%,00:03:38,0.02
sad sound,296,1.97,30.74%,39.73%,00:03:02,0.02
sheep bell,296,1.14,91.55%,8.01%,00:01:07,<0.01
slicing,296,2.36,14.19%,43.49%,00:02:52,0.02
thunder bolt,296,1.15,81.76%,17.06%,00:00:43,0.00
titanic,296,1.56,30.07%,57.58%,00:02:51,0.00
vox,296,3.65,37.84%,17.96%,00:03:34,0.05
wub,296,1.96,30.41%,38.51%,00:02:34,0.05
bomb falling,295,1.60,25.42%,51.59%,00:02:34,<0.01
cartoon horn,295,1.08,74.92%,24.38%,00:00:31,<0.01
clear,295,1.77,8.81%,54.98%,00:01:45,0.00
drum loops,295,2.96,51.19%,17.98%,00:04:05,0.06
Fanfare,295,2.59,54.58%,21.18%,00:03:15,<0.01
Lightning,295,1.89,36.61%,38.24%,00:03:22,0.02
low bass,295,2.25,32.88%,32.78%,00:03:18,0.03
pocket,295,2.17,12.20%,46.41%,00:03:26,<0.01
porsche,295,1.63,36.61%,46.06%,00:03:03,0.02
snowstorm,295,1.43,31.86%,51.42%,00:02:06,0.02
soccer kick,295,1.52,28.14%,51.23%,00:02:27,0.01
street night,295,1.89,32.88%,40.39%,00:03:52,0.01
Trumpet,295,2.73,39.66%,26.30%,00:03:48,0.05
alarms,294,3.64,36.05%,19.36%,00:04:17,0.03
bell church,294,2.66,45.92%,21.99%,00:04:32,0.01
blackboard,294,1.84,22.11%,46.49%,00:02:54,0.02
breath in,294,1.15,2.72%,90.86%,00:00:17,0.00
brushing,294,2.21,12.59%,45.76%,00:01:49,0.01
gem,294,1.71,19.05%,53.88%,00:02:02,0.03
lute,294,1.54,31.29%,51.66%,00:02:34,0.02
radio interference,294,2.01,46.26%,28.76%,00:03:17,0.02
screeching,294,1.92,13.61%,50.18%,00:02:01,<0.01
sighing,294,2.25,38.10%,30.36%,00:03:55,<0.01
sunset,294,2.11,26.53%,38.39%,00:03:02,0.02
swift,294,1.46,17.69%,58.74%,00:01:50,0.06
teleportation,294,2.43,40.48%,27.17%,00:04:23,0.01
ancient,293,2.44,23.55%,34.73%,00:03:03,0.02
birds forest,293,1.97,46.76%,29.07%,00:03:21,<0.01
car speed,293,1.98,22.53%,42.17%,00:03:14,0.00
chocolate,293,1.98,31.74%,41.03%,00:02:28,0.02
crowd boo,293,1.52,39.25%,42.15%,00:02:14,0.02
crowd concert,293,2.30,45.39%,27.30%,00:02:55,0.04
distant thunder,293,2.52,40.96%,25.30%,00:05:11,<0.01
falling rocks,293,2.32,25.26%,33.82%,00:03:59,0.02
front door,293,2.17,25.60%,37.89%,00:04:23,<0.01
furniture,293,2.74,24.91%,31.05%,00:03:58,0.05
lamb,293,1.93,30.03%,39.05%,00:03:22,0.04
mobile ring,293,2.36,38.91%,28.94%,00:03:01,0.01
monster growl,293,2.55,26.96%,32.62%,00:04:07,<0.01
nightclub,293,1.65,20.14%,53.73%,00:01:56,0.01
plane engine,293,2.01,24.23%,41.77%,00:03:28,0.01
text tone,293,1.39,19.45%,65.44%,00:01:20,0.03
throat,293,2.03,21.16%,43.77%,00:02:17,0.01
Violin,293,2.54,40.27%,25.94%,00:03:52,0.02
wah wah wah,293,1.65,14.68%,55.49%,00:01:37,<0.01
wrong buzzer,293,1.31,39.93%,50.00%,00:02:27,0.02
Ambient,292,2.53,40.07%,24.93%,00:02:53,<0.01
bar crowd,292,2.16,42.47%,29.52%,00:03:35,0.02
bubles,292,1.40,19.18%,61.71%,00:02:19,0.02
car stops,292,1.99,22.26%,44.50%,00:02:39,0.00
cat purring,292,1.63,36.64%,42.77%,00:03:13,0.01
cat screech,292,1.43,19.86%,61.00%,00:01:41,<0.01
door buzzer,292,1.65,36.99%,43.24%,00:02:46,0.01
door shutting,292,1.88,30.82%,39.82%,00:03:14,<0.01
fast breathing,292,1.90,24.32%,42.70%,00:03:33,0.01
gear shift,292,1.93,33.90%,37.88%,00:03:24,0.01
geiger,292,2.65,56.85%,18.89%,00:02:53,<0.01
horse walk,292,1.76,30.82%,44.64%,00:03:38,0.02
rock and roll,292,1.17,9.25%,83.58%,00:00:29,<0.01
turkish,292,3.36,30.48%,23.06%,00:03:49,0.04
whipping,292,2.77,24.32%,30.74%,00:04:15,<0.01
cartoon scream,291,2.57,18.56%,36.01%,00:02:46,0.02
coconut,291,1.83,28.87%,43.90%,00:02:41,0.03
creaking wood,291,1.92,27.84%,40.25%,00:03:57,<0.01
desk,291,2.44,15.12%,39.80%,00:03:06,<0.01
dramatic sound,291,1.99,25.77%,39.31%,00:03:12,0.03
dreaming,291,2.18,30.24%,35.80%,00:03:20,0.06
emotion,291,2.19,28.18%,34.12%,00:03:16,0.04
golf ball,291,2.88,41.24%,25.42%,00:03:15,0.02
grocery store,291,2.20,36.08%,32.66%,00:03:59,0.02
jar,291,2.15,18.90%,41.15%,00:03:05,0.01
memory,291,2.33,26.46%,37.91%,00:03:02,0.01
metal clink,291,1.88,24.05%,44.69%,00:03:37,<0.01
notes,291,2.71,28.52%,28.55%,00:02:21,0.03
police station,291,1.36,16.84%,67.17%,00:01:50,<0.01
test,291,1.64,25.77%,47.07%,00:01:46,0.31
wedding march,291,1.21,25.77%,66.76%,00:01:59,<0.01
ahhhh,290,1.41,12.41%,68.46%,00:01:28,0.00
cartoon blink,290,1.24,27.59%,65.46%,00:02:59,0.01
clapperboard,290,1.34,51.72%,40.87%,00:02:25,0.06
force,290,1.86,14.14%,50.93%,00:01:34,<0.01
horror piano,290,2.68,40.34%,24.97%,00:04:41,0.06
hydraulics,290,2.59,33.10%,29.87%,00:04:13,0.03
matches,290,2.20,33.45%,34.17%,00:04:23,0.00
railway,290,2.91,23.45%,28.59%,00:03:30,<0.01
throw up,290,1.47,19.66%,61.65%,00:02:06,<0.01
water flow,290,1.64,31.38%,44.84%,00:02:27,<0.01
anxiety,289,1.79,27.34%,45.35%,00:03:25,0.05
falling object,289,2.12,20.76%,39.15%,00:03:06,0.01
fire siren,289,1.98,29.07%,40.63%,00:03:43,0.01
mother,289,2.16,19.72%,41.76%,00:02:59,0.02
ocean sounds,289,2.23,39.10%,31.06%,00:03:37,<0.01
pan flute,289,1.45,30.45%,52.27%,00:02:32,0.02
parking,289,2.13,16.26%,43.41%,00:03:05,<0.01
people talk,289,1.82,28.72%,44.49%,00:03:40,0.01
razor,289,1.76,24.57%,45.88%,00:03:04,0.04
water bubble,289,2.15,37.02%,31.51%,00:03:15,0.06
agua,288,2.04,25.35%,43.20%,00:02:51,<0.01
babble,288,2.01,11.11%,48.53%,00:01:53,0.02
oh oh,288,2.33,19.79%,38.39%,00:02:00,0.01
paper bag,288,1.66,32.29%,44.98%,00:03:46,<0.01
pikachu,288,1.19,30.90%,67.73%,00:00:48,0.01
rain stick,288,1.83,54.17%,26.94%,00:03:04,0.02
school ring,288,1.60,27.43%,48.26%,00:02:40,0.02
soft piano,288,2.39,37.85%,29.11%,00:03:59,0.02
twinkling,288,1.51,23.26%,56.19%,00:02:26,<0.01
witch laugh,288,1.69,40.28%,38.89%,00:03:54,<0.01
airlock,287,1.71,33.45%,42.89%,00:03:27,0.02
arrows,287,2.22,32.40%,34.64%,00:03:54,<0.01
blah,287,2.07,28.57%,40.40%,00:03:44,0.03
body slam,287,1.53,19.86%,57.76%,00:02:50,0.02
cable,287,2.62,15.33%,37.23%,00:02:28,0.00
car arriving,287,2.12,36.93%,34.54%,00:03:57,0.02
cinematic impact,287,2.55,47.74%,25.14%,00:03:47,0.09
Clap,287,2.81,44.25%,22.95%,00:03:24,0.08
eh,287,1.91,17.07%,48.26%,00:02:43,0.02
five nights at freddys,287,1.14,18.12%,79.20%,00:00:21,<0.01
guillotine,287,1.82,34.84%,39.58%,00:02:55,0.02
hatch,287,1.68,17.07%,54.15%,00:03:05,<0.01
jump water,287,1.80,27.18%,43.71%,00:03:14,0.01
landslide,287,1.67,25.78%,50.42%,00:03:38,0.03
leafs,287,2.15,22.30%,40.52%,00:03:28,<0.01
melancholic,287,2.74,40.42%,25.61%,00:03:54,<0.01
mmmm,287,1.99,19.51%,45.71%,00:02:16,<0.01
nuclear explosion,287,1.84,41.46%,34.59%,00:03:46,0.03
old car horn,287,1.55,31.36%,51.24%,00:02:55,<0.01
orchestra cymbal,287,1.01,94.08%,5.88%,00:00:16,0.00
spinning wheel,287,2.19,25.09%,38.22%,00:03:51,0.03
tattoo,287,1.63,58.89%,29.85%,00:03:15,0.07
tearing,287,2.14,23.69%,40.49%,00:03:16,0.01
what the,287,1.22,12.20%,80.52%,00:00:32,0.00
Zombie,287,2.70,40.42%,25.97%,00:03:40,0.05
80's,286,3.39,39.16%,20.82%,00:03:54,0.00
ass,286,1.49,25.17%,53.65%,00:01:33,0.02
begin,286,2.69,25.52%,31.21%,00:02:54,0.23
bus door,286,1.99,36.36%,37.15%,00:03:37,0.02
darkness,286,2.50,28.67%,30.67%,00:03:14,0.01
electronica,286,2.63,41.26%,24.44%,00:03:50,0.05
forest sound,286,1.88,32.87%,39.29%,00:03:50,0.01
game coin,286,2.46,37.06%,28.84%,00:03:35,0.02
horse whinny,286,1.69,34.27%,43.60%,00:03:21,0.01
jazz drum,286,2.32,41.26%,29.22%,00:04:18,0.01
lobby,286,1.85,29.37%,43.77%,00:02:45,0.01
no signal,286,1.32,34.62%,56.88%,00:02:03,0.01
nuclear bomb,286,1.57,33.57%,46.33%,00:02:56,0.01
reverse crash,286,1.72,64.34%,22.00%,00:02:20,0.03
sine,286,2.26,37.41%,29.72%,00:02:55,0.17
tires screeching,286,1.55,30.07%,51.69%,00:02:36,0.01
toilet flushing,286,2.10,37.06%,34.05%,00:03:31,0.00
traffic light,286,1.75,31.82%,44.11%,00:03:01,0.01
water bubbles,286,2.40,34.97%,30.07%,00:03:29,<0.01
weights,286,2.05,20.63%,44.88%,00:02:15,0.00
whoos,286,1.23,10.49%,77.05%,00:00:44,<0.01
woman voice,286,3.38,27.97%,23.16%,00:03:48,0.06
basketball swish,285,1.38,27.02%,59.54%,00:01:45,0.01
bass line,285,2.70,30.53%,28.48%,00:03:45,0.01
circular saw,285,2.13,44.91%,29.70%,00:04:03,0.02
clown horn,285,1.42,40.00%,46.53%,00:02:13,0.05
flood,285,1.73,22.81%,49.39%,00:02:50,0.01
glass door,285,2.24,25.61%,36.62%,00:03:44,<0.01
particles,285,1.80,22.46%,46.89%,00:03:02,0.29
puerta,285,2.00,24.21%,46.23%,00:03:22,0.01
tape stop,285,1.94,56.49%,27.85%,00:02:33,0.04
vibrator,285,2.79,43.51%,25.53%,00:03:26,0.03
wind loop,285,2.27,52.63%,24.46%,00:03:15,<0.01
ambient forest,284,1.83,40.85%,33.59%,00:03:41,0.01
bass rumble,284,1.88,40.85%,34.08%,00:03:44,0.02
bulldozer,284,1.99,35.92%,37.94%,00:04:14,0.02
door kick,284,2.14,28.52%,35.86%,00:04:18,0.00
kid laughing,284,2.05,28.87%,39.59%,00:04:06,<0.01
Mario,284,2.19,42.61%,32.32%,00:02:37,0.05
plopp,284,1.78,30.63%,45.06%,00:03:21,0.02
rock hit,284,2.08,19.37%,42.71%,00:02:53,0.00
timber,284,1.65,15.49%,58.09%,00:01:55,0.00
wind desert,284,2.09,34.86%,33.73%,00:04:00,0.03
wood steps,284,1.91,25.00%,41.33%,00:04:33,0.02
Ambulance,283,1.95,42.76%,33.94%,00:03:39,0.02
bag drop,283,1.91,24.38%,44.07%,00:04:42,0.02
baseball hit,283,1.92,41.70%,34.19%,00:02:48,0.04
beach sounds,283,2.31,31.80%,34.30%,00:03:16,0.01
cannon fire,283,2.70,37.81%,25.88%,00:03:13,0.01
cartoon crash,283,1.36,17.67%,66.32%,00:02:16,<0.01
countdown beep,283,1.50,44.88%,40.80%,00:02:52,0.04
fail sound,283,2.17,25.80%,37.72%,00:02:14,0.00
falling over,283,2.13,16.61%,43.69%,00:02:14,0.00
ignite,283,2.30,15.19%,39.08%,00:02:36,0.02
implosion,283,1.38,23.32%,58.97%,00:01:54,0.02
metal slam,283,2.21,29.33%,34.98%,00:03:26,0.00
Minecraft,283,1.98,51.24%,30.41%,00:01:49,0.05
ohhh,283,1.30,15.90%,70.92%,00:01:39,<0.01
pleasure,283,2.65,30.04%,29.37%,00:03:42,0.01
pop sound,283,2.04,39.58%,32.12%,00:03:16,<0.01
powder,283,1.81,19.79%,52.93%,00:02:42,<0.01
rail,283,1.86,16.25%,48.67%,00:02:05,0.04
shift,283,1.80,14.84%,51.47%,00:01:59,0.06
stirring,283,2.25,18.73%,41.35%,00:03:08,0.00
lonely,282,2.35,31.91%,33.08%,00:03:44,<0.01
mobile phone ring,282,2.74,39.72%,24.74%,00:03:30,0.02
oof,282,1.50,19.50%,59.20%,00:02:39,0.05
sex noises,282,1.95,56.74%,26.55%,00:02:31,<0.01
splashing water,282,2.26,23.05%,37.99%,00:03:52,<0.01
aaah,281,1.30,21.35%,67.40%,00:01:33,0.01
air plane,281,1.96,25.62%,43.82%,00:02:41,0.01
analog,281,3.95,28.11%,19.73%,00:04:28,0.05
autumn,281,2.22,28.11%,36.70%,00:04:07,<0.01
beat drop,281,1.95,28.47%,40.80%,00:02:22,<0.01
finger click,281,1.63,54.80%,28.60%,00:02:28,<0.01
scream male,281,2.47,37.37%,28.86%,00:03:43,0.02
silverware,281,2.11,25.62%,39.46%,00:03:32,0.11
skyrim,281,1.61,29.54%,50.99%,00:02:08,0.04
tamborine,281,1.73,31.32%,44.24%,00:01:48,0.02
tense music,281,1.96,29.89%,37.93%,00:03:21,0.02
throat singing,281,2.16,52.67%,24.55%,00:03:21,0.06
audience laughing,280,2.23,43.21%,29.33%,00:03:46,0.01
canned laughter,280,1.38,24.64%,57.62%,00:01:32,<0.01
click sound,280,2.21,28.93%,34.89%,00:02:36,0.04
dawn,280,1.99,27.50%,43.01%,00:03:38,0.00
kaboom,280,1.89,27.86%,43.18%,00:02:24,0.02
number,280,2.38,23.57%,36.19%,00:02:11,0.02
paddle,280,1.78,25.36%,45.49%,00:03:04,<0.01
radio dial,280,2.21,51.07%,24.84%,00:05:05,0.13
running concrete,280,2.37,25.36%,34.19%,00:04:03,0.00
scuba,280,1.82,32.50%,40.39%,00:03:19,0.05
soil,280,2.05,23.21%,42.06%,00:03:29,0.00
squeaky toy,280,1.83,38.93%,36.45%,00:04:32,0.01
sword slice,280,1.88,25.00%,45.33%,00:03:11,<0.01
THUNDER,280,2.12,45.00%,28.33%,00:04:19,0.04
cookie,279,1.87,32.26%,41.95%,00:03:09,0.04
demonic,279,3.14,26.16%,26.51%,00:05:04,0.01
door break,279,2.02,29.75%,39.54%,00:03:24,0.01
falling whistle,279,1.71,23.66%,48.11%,00:04:10,0.00
girl moaning,279,1.71,44.09%,40.25%,00:02:03,0.02
open bottle,279,1.86,25.81%,42.39%,00:02:53,0.02
sci fi door,279,1.53,21.86%,55.61%,00:02:23,0.11
treadmill,279,1.65,30.11%,50.76%,00:04:34,0.05
why,279,2.37,32.97%,31.87%,00:02:51,0.03
cat growl,278,1.75,27.70%,46.20%,00:02:37,0.03
crashing waves,278,2.22,39.57%,32.52%,00:03:59,<0.01
duct tape,278,2.11,39.21%,31.57%,00:03:36,<0.01
electric door,278,1.95,20.50%,43.99%,00:02:55,0.03
fire whoosh,278,2.03,36.33%,34.04%,00:03:45,0.03
girl cry,278,1.89,29.86%,41.52%,00:03:30,0.00
gossip,278,1.46,23.38%,58.62%,00:02:57,<0.01
korean,278,2.12,33.45%,35.71%,00:02:18,0.04
man shout,278,2.37,23.74%,35.11%,00:03:09,0.03
room sound,278,1.84,28.06%,41.41%,00:02:32,0.02
bar music,277,1.97,33.21%,39.67%,00:03:09,0.01
Doorbell,277,2.07,54.51%,25.44%,00:03:18,0.03
haunted house,277,2.82,25.99%,29.07%,00:04:05,0.02
italian music,277,1.46,33.21%,52.10%,00:02:10,<0.01
mm,277,1.50,7.22%,65.78%,00:00:55,0.01
robots,277,3.14,33.21%,22.96%,00:04:44,0.05
spank,277,1.86,34.30%,42.14%,00:02:04,<0.01
swallowing,277,2.06,28.88%,39.58%,00:03:21,<0.01
thruster,277,2.15,28.52%,37.31%,00:02:50,0.02
toms,277,3.56,37.91%,19.80%,00:03:47,0.00
train stop,277,2.24,30.32%,34.52%,00:05:34,0.01
cute music,276,1.68,30.80%,47.84%,00:02:45,0.03
dog walk,276,2.55,31.16%,31.86%,00:03:36,0.01
dump,276,1.68,11.59%,55.08%,00:01:35,0.03
floor tom,276,2.43,40.58%,26.53%,00:03:28,0.01
melodic,276,3.12,32.61%,23.60%,00:03:49,0.05
okay,276,1.89,22.83%,46.55%,00:02:23,0.03
paper falling,276,1.86,21.38%,46.89%,00:03:15,<0.01
radio voice,276,2.81,35.14%,25.77%,00:03:52,<0.01
robot moving,276,1.96,29.35%,38.38%,00:03:44,<0.01
shattering glass,276,2.04,35.51%,34.88%,00:03:17,0.03
sub drop,276,2.47,53.26%,21.88%,00:02:44,0.03
tic toc,276,1.47,25.00%,56.65%,00:02:18,0.01
trailer hit,276,2.21,50.00%,25.12%,00:03:32,0.04
american football,275,1.56,30.91%,50.82%,00:01:57,0.01
ants,275,1.96,29.82%,38.96%,00:03:57,0.02
beer bottle,275,2.35,32.00%,31.53%,00:03:16,0.00
castanets,275,1.89,54.91%,27.55%,00:03:03,0.05
cosmic,275,2.36,32.00%,30.71%,00:03:35,0.06
graduation,275,1.45,34.55%,55.53%,00:02:33,0.00
hang,275,1.99,18.55%,44.53%,00:01:57,<0.01
metal music,275,2.57,37.82%,28.47%,00:03:41,0.05
old phone ring,275,1.94,44.73%,30.39%,00:03:20,0.03
pads,275,3.33,39.27%,20.00%,00:04:50,0.02
Phone,275,2.02,28.36%,38.31%,00:02:52,0.03
PIANO,275,3.16,40.36%,22.47%,00:04:30,0.14
plane taking off,275,1.88,33.45%,38.42%,00:04:15,<0.01
pops,275,2.21,23.64%,38.10%,00:03:56,0.00
struggling,275,1.93,12.36%,50.00%,00:02:32,<0.01
studio,275,1.89,21.45%,46.54%,00:01:44,0.00
wind forest,275,1.93,36.36%,36.23%,00:03:26,<0.01
window open,275,1.96,24.73%,41.19%,00:03:21,<0.01
yeehaw,275,1.43,45.82%,44.13%,00:02:20,0.03
activate,274,2.45,26.64%,32.54%,00:02:26,0.04
air conditioning,274,1.98,35.40%,36.46%,00:04:01,0.02
app,274,2.93,34.31%,25.03%,00:03:23,0.12
arcade music,274,2.07,34.67%,35.74%,00:02:38,0.03
atari,274,2.57,33.58%,28.84%,00:02:39,0.05
eagle cry,274,1.24,31.39%,60.00%,00:01:59,0.03
gitar,274,1.96,20.07%,45.15%,00:01:57,0.16
happy melody,274,2.19,27.01%,37.56%,00:03:32,0.04
ipad,274,1.59,25.55%,50.00%,00:01:47,0.01
mic,274,2.10,32.12%,37.67%,00:02:36,0.02
nascar,274,2.26,33.21%,35.81%,00:02:32,0.03
percusion,274,2.47,29.56%,32.50%,00:03:12,0.04
piss,274,2.00,32.48%,38.69%,00:03:46,0.02
rice,274,1.76,26.28%,46.78%,00:03:46,0.01
sparkler,274,1.56,29.56%,48.36%,00:03:26,0.02
streets,274,1.79,26.64%,44.29%,00:03:18,0.01
suspens,274,1.30,17.52%,68.26%,00:01:15,0.03
truck driving,274,2.23,25.18%,39.51%,00:04:11,0.00
wasp,274,2.01,37.59%,34.66%,00:02:19,0.03
wood fall,274,2.16,25.91%,37.39%,00:03:30,<0.01
9mm,273,2.22,35.53%,32.01%,00:03:08,0.03
advertisement,273,1.88,31.50%,43.39%,00:03:03,0.03
carnival music,273,1.54,32.60%,49.05%,00:02:40,0.04
Cartoon,273,4.59,33.33%,17.38%,00:06:02,0.02
earth quake,273,1.47,25.27%,54.50%,00:03:08,<0.01
FIRE,273,1.89,35.90%,36.94%,00:03:24,0.02
gun sounds,273,2.48,33.70%,29.10%,00:03:29,0.03
kisses,273,2.18,30.77%,35.02%,00:03:36,<0.01
metal break,273,2.07,21.25%,41.67%,00:02:47,0.00
net,273,1.92,11.72%,54.68%,00:02:05,0.00
remote control,273,1.56,28.94%,51.41%,00:02:09,0.00
roller,273,1.68,16.48%,56.21%,00:01:59,0.01
sexual,273,2.01,38.46%,34.97%,00:02:27,0.04
sneezing,273,2.61,34.80%,27.81%,00:03:18,0.00
standing up,273,1.79,18.68%,48.77%,00:02:33,<0.01
women laughing,273,2.04,27.11%,40.93%,00:02:49,0.02
air whoosh,272,2.18,30.51%,33.90%,00:04:00,0.01
ambient city,272,2.12,34.56%,34.55%,00:04:01,0.01
avion,272,1.92,30.15%,42.45%,00:02:48,0.04
can open,272,1.92,29.78%,39.08%,00:02:44,0.02
cathedral,272,2.50,23.16%,34.56%,00:03:19,0.06
chiken,272,1.38,15.07%,69.33%,00:01:25,0.01
day,272,1.62,21.32%,52.05%,00:02:14,0.02
fighter jet,272,2.07,28.31%,38.26%,00:03:35,<0.01
grrr,272,1.38,19.12%,59.84%,00:02:12,<0.01
ka ching,272,1.10,10.29%,86.96%,00:00:26,0.06
photo flash,272,1.93,49.63%,29.71%,00:02:26,0.01
print,272,1.96,26.10%,43.34%,00:04:04,0.02
pum,272,1.36,13.60%,68.73%,00:01:22,0.01
reading,272,2.49,30.15%,32.25%,00:02:50,<0.01
ritual,272,2.93,31.99%,28.70%,00:04:41,<0.01
run away,272,2.06,17.28%,45.89%,00:02:29,0.02
shrink,272,1.33,12.50%,71.07%,00:01:22,0.02
square,272,1.64,17.28%,54.04%,00:02:15,<0.01
stir,272,2.27,21.32%,39.81%,00:03:37,0.02
tie,272,2.09,18.38%,46.40%,00:03:00,0.01
time warp,272,2.01,31.99%,40.59%,00:03:22,0.03
bacon,271,1.81,36.16%,40.53%,00:02:59,0.03
cocktail,271,1.82,26.94%,43.93%,00:02:41,0.01
computer sound,271,2.41,31.73%,30.32%,00:02:38,0.00
creepy ambience,271,2.20,40.59%,30.20%,00:05:03,0.00
Game,271,3.56,41.33%,19.07%,00:04:22,0.22
garbage truck,271,1.86,29.52%,45.63%,00:03:45,<0.01
knob,271,2.18,18.08%,39.70%,00:02:57,0.01
leopard,271,1.58,22.14%,57.34%,00:01:46,<0.01
let's go,271,2.46,39.48%,28.83%,00:02:47,0.06
long beep,271,1.87,40.96%,34.78%,00:02:55,0.02
mill,271,2.14,21.03%,41.45%,00:02:56,0.00
Noise,271,4.72,29.89%,17.21%,00:07:55,0.15
nose,271,2.16,18.45%,41.30%,00:02:46,<0.01
Ocean,271,1.91,48.71%,30.95%,00:02:57,0.03
pizzicato,271,3.05,38.75%,22.40%,00:04:52,0.16
ripple,271,1.91,20.66%,45.17%,00:02:40,0.04
shut,271,1.84,16.61%,48.30%,00:01:58,0.02
skating,271,1.93,29.52%,40.04%,00:02:01,0.02
toot,271,1.79,18.82%,49.48%,00:02:09,0.03
vault,271,1.54,19.93%,60.82%,00:02:01,0.00
warm,271,2.36,26.57%,33.44%,00:02:52,0.03
winding,271,2.14,21.40%,41.03%,00:03:39,<0.01
adventure music,270,1.64,27.41%,48.31%,00:02:57,<0.01
cartoon whistle,270,2.27,21.85%,38.07%,00:04:10,0.01
celestial,270,1.94,21.85%,45.33%,00:02:23,<0.01
crowd running,270,1.68,21.85%,52.86%,00:02:46,<0.01
cum,270,1.12,15.93%,80.46%,00:00:42,<0.01
dramatic hit,270,2.00,41.11%,32.96%,00:03:14,<0.01
false,270,1.50,14.81%,61.48%,00:01:15,0.05
force field,270,2.08,22.59%,39.68%,00:03:36,0.06
lizard,270,1.51,19.26%,60.44%,00:03:05,0.01
Monster,270,2.89,34.07%,25.16%,00:04:15,0.03
rushing water,270,2.07,30.00%,37.32%,00:03:51,0.09
sport car,270,1.78,25.19%,45.53%,00:01:59,0.03
swag,270,1.41,25.93%,56.43%,00:02:00,<0.01
swich,270,1.25,13.33%,73.96%,00:01:06,0.04
washing dishes,270,1.74,23.70%,48.83%,00:04:16,0.01
women talking,270,2.20,22.59%,39.66%,00:03:22,<0.01
bird call,269,2.39,27.88%,32.92%,00:03:01,0.00
broken window,269,1.59,34.57%,43.33%,00:03:32,0.01
couple,269,1.99,18.59%,46.07%,00:01:51,0.01
dingdong,269,2.22,29.37%,35.07%,00:02:14,<0.01
goofy,269,1.71,21.93%,49.89%,00:02:01,0.06
hard rock,269,2.30,35.32%,31.66%,00:03:52,0.03
ice cubes,269,2.12,35.69%,34.50%,00:04:15,0.01
maraca,269,2.02,45.35%,31.31%,00:03:06,0.04
night sound,269,1.80,30.48%,43.06%,00:03:01,0.02
playful,269,2.30,27.51%,33.87%,00:03:01,0.02
preacher,269,2.32,39.78%,29.49%,00:03:15,0.04
rock slide,269,1.83,26.02%,45.44%,00:03:10,0.03
snow wind,269,1.75,32.34%,42.37%,00:02:46,0.01
sunny,269,1.68,29.00%,45.47%,00:01:47,<0.01
tinkerbell,269,1.44,18.22%,59.43%,00:02:00,0.03
vase,269,2.13,26.39%,40.07%,00:03:45,0.03
airplane take off,268,2.07,39.93%,31.83%,00:03:38,0.04
bash,268,1.89,15.67%,49.51%,00:02:13,<0.01
dinner party,268,1.42,23.51%,59.74%,00:02:05,0.04
ears ringing,268,1.71,48.51%,32.17%,00:03:23,0.06
Fireworks,268,2.28,52.61%,24.10%,00:03:53,0.01
footsteps on concrete,268,1.22,3.36%,87.12%,00:00:24,<0.01
guitar rock,268,1.93,72.01%,17.99%,00:03:16,0.04
low battery,268,2.14,39.18%,32.58%,00:02:36,0.00
melting,268,1.99,16.79%,48.97%,00:02:47,<0.01
michael jackson,268,1.41,39.93%,49.60%,00:01:12,0.02
perc,268,3.37,42.16%,19.29%,00:03:26,0.10
pixel,268,1.44,24.63%,57.92%,00:02:17,0.03
robot walking,268,1.65,28.73%,46.73%,00:04:09,<0.01
whiz,268,2.01,20.52%,42.57%,00:02:46,<0.01
alphabet,267,2.78,48.31%,23.15%,00:02:55,0.10
bed sheets,267,1.55,32.58%,47.22%,00:03:54,0.02
chillout,267,2.83,39.33%,24.07%,00:03:12,0.06
drumming,267,2.64,26.22%,30.40%,00:02:55,<0.01
face punch,267,2.21,29.96%,33.84%,00:03:46,0.02
get up,267,1.69,16.48%,55.53%,00:01:55,0.00
gta,267,1.23,23.22%,70.52%,00:00:54,0.03
hanging,267,1.76,19.85%,51.39%,00:02:33,0.01
happy sounds,267,2.70,28.46%,29.82%,00:02:38,0.03
